year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1974,1975,47,DOCUMENTARY (Short Subject),Female,"Dewitt Jones and Lesley Foster, Producers",White,John Muir's High Sierra,FALSE
1974,1975,47,DOCUMENTARY (Short Subject),Male,"Ronald S. Kass and Mervyn Lloyd, Producers",White,Naked Yoga,FALSE
1974,1975,47,FILM EDITING,Male,"John C. Howard, Danford Greene",White,Blazing Saddles,FALSE
1974,1975,47,FILM EDITING,Male,Sam O'Steen,White,Chinatown,FALSE
1974,1975,47,FILM EDITING,Female,Dorothy Spencer,White,Earthquake,FALSE
1974,1975,47,FILM EDITING,Male,Michael Luciano,White,The Longest Yard,FALSE
1974,1975,47,FILM EDITING,Male,"Harold F. Kress, Carl Kress",White,The Towering Inferno,TRUE
1974,1975,47,FOREIGN LANGUAGE FILM,Male,Italy,White,Amarcord,TRUE
1974,1975,47,FOREIGN LANGUAGE FILM,Male,Hungary,White,Cats' Play,FALSE
1974,1975,47,FOREIGN LANGUAGE FILM,Male,Poland,White,The Deluge,FALSE
1974,1975,47,FOREIGN LANGUAGE FILM,Male,France,White,"Lacombe, Lucien",FALSE
1974,1975,47,FOREIGN LANGUAGE FILM,Male,Argentina,White,The Truce,FALSE
1974,1975,47,MUSIC (Original Dramatic Score),Male,Jerry Goldsmith,White,Chinatown,FALSE
1974,1975,47,MUSIC (Original Dramatic Score),Male,"Nino Rota, Carmine Coppola",White,The Godfather Part II,TRUE
1974,1975,47,MUSIC (Original Dramatic Score),Male,Richard Rodney Bennett,White,Murder on the Orient Express,FALSE
1974,1975,47,MUSIC (Original Dramatic Score),Male,Alex North,White,Shanks,FALSE
1974,1975,47,MUSIC (Original Dramatic Score),Male,John Williams,White,The Towering Inferno,FALSE
1974,1975,47,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Male,Adaptation Score by Nelson Riddle,White,The Great Gatsby,TRUE
1974,1975,47,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Female,Song Score by Alan Jay Lerner and Frederick Loewe; Adaptation Score by Angela Morley and Douglas Gamley,White,The Little Prince,FALSE
1974,1975,47,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Male,Song Score by Paul Williams; Adaptation Score by Paul Williams and George Aliceson Tipton,White,Phantom of the Paradise,FALSE
1974,1975,47,MUSIC (Song),Female,Music by Euel Box; Lyrics by Betty Box,White,Benji,FALSE
1974,1975,47,MUSIC (Song),Male,Music by John Morris; Lyrics by Mel Brooks,White,Blazing Saddles,FALSE
1974,1975,47,MUSIC (Song),Male,Music by Frederick Loewe; Lyrics by Alan Jay Lerner,White,The Little Prince,FALSE
1974,1975,47,MUSIC (Song),Male,Music and Lyrics by Al Kasha and Joel Hirschhorn,White,The Towering Inferno,TRUE
1974,1975,47,MUSIC (Song),Male,Music by Elmer Bernstein; Lyrics by Don Black,White,Gold,FALSE
1974,1975,47,BEST PICTURE,Male,"Robert Evans, Producer",White,Chinatown,FALSE
1974,1975,47,BEST PICTURE,Male,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer",White,The Conversation,FALSE
1974,1975,47,BEST PICTURE,Male,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",White,The Godfather Part II,TRUE
1974,1975,47,BEST PICTURE,Male,"Marvin Worth, Producer",White,Lenny,FALSE
1974,1975,47,BEST PICTURE,Male,"Irwin Allen, Producer",White,The Towering Inferno,FALSE
1974,1975,47,SHORT FILM (Animated),Male,"Will Vinton and Bob Gardiner, Producers",White,Closed Mondays,TRUE
1974,1975,47,SHORT FILM (Animated),Male,"Yvon Mallette and Robert Verrall, Producers",White,The Family That Dwelt Apart,FALSE
1974,1975,47,SHORT FILM (Animated),Male,"Peter Foldes and René Jodoin, Producers",White,Hunger,FALSE
1974,1975,47,SHORT FILM (Animated),Male,"Faith Hubley and John Hubley, Producers",White,Voyage to Next,FALSE
1974,1975,47,SHORT FILM (Animated),Male,"Wolfgang Reitherman, Producer",White,Winnie the Pooh and Tigger Too,FALSE
1974,1975,47,SHORT FILM (Live Action),Male,"Dewitt Jones, Producer",White,Climb,FALSE
1974,1975,47,SHORT FILM (Live Action),Male,"Julian Chagrin and Claude Chagrin, Producers",White,The Concert,FALSE
1974,1975,47,SHORT FILM (Live Action),Male,"Paul Claudon and Edmond Sechan, Producers",White,One-Eyed Men Are Kings,TRUE
1974,1975,47,SHORT FILM (Live Action),Male,"George V. Casey, Producer",White,Planet Ocean,FALSE
1974,1975,47,SHORT FILM (Live Action),Male,"Andrew Welsh and George Pastic, Producers",White,The Violin,FALSE
1974,1975,47,SOUND,Male,"Bud Grenzbach, Larry Jost",White,Chinatown,FALSE
1974,1975,47,SOUND,Male,"Walter Murch, Arthur Rochester",White,The Conversation,FALSE
1974,1975,47,SOUND,Male,"Ronald Pierce, Melvin Metcalfe, Sr.",White,Earthquake,TRUE
1974,1975,47,SOUND,Male,"Theodore Soderberg, Herman Lewis",White,The Towering Inferno,FALSE
1974,1975,47,SOUND,Male,"Richard Portman, Gene Cantamessa",White,Young Frankenstein,FALSE
1974,1975,47,WRITING (Original Screenplay),Male,Robert Getchell,White,Alice Doesn't Live Here Anymore,FALSE
1974,1975,47,WRITING (Original Screenplay),Male,Robert Towne,White,Chinatown,TRUE
1974,1975,47,WRITING (Original Screenplay),Male,Francis Ford Coppola,White,The Conversation,FALSE
1974,1975,47,WRITING (Original Screenplay),Female,"Francois Truffaut, Jean-Louis Richard, Suzanne Schiffman",White,Day for Night,FALSE
1974,1975,47,WRITING (Original Screenplay),Male,"Paul Mazursky, Josh Greenfeld",White,Harry and Tonto,FALSE
1974,1975,47,WRITING (Adapted Screenplay),Male,Screenplay by Mordecai Richler;  Adaptation by Lionel Chetwynd,White,The Apprenticeship of Duddy Kravitz,FALSE
1974,1975,47,WRITING (Adapted Screenplay),Male,"Francis Ford Coppola, Mario Puzo",White,The Godfather Part II,TRUE
1974,1975,47,WRITING (Adapted Screenplay),Male,Julian Barry,White,Lenny,FALSE
1974,1975,47,WRITING (Adapted Screenplay),Male,Paul Dehn,White,Murder on the Orient Express,FALSE
1974,1975,47,WRITING (Adapted Screenplay),Male,"Gene Wilder, Mel Brooks",White,Young Frankenstein,FALSE
1974,1975,47,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Male,"Frank Brendel, Glen Robinson, Albert Whitlock",White,Earthquake,TRUE
1974,1975,47,JEAN HERSHOLT HUMANITARIAN AWARD,Male,Arthur B. Krim,White,,TRUE
1974,1975,47,HONORARY AWARD,Male, Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema.,White,,TRUE
1974,1975,47,HONORARY AWARD,Male, Jean Renoir - a genius who,White,,TRUE
1975,1976,48,PRODUCTION DESIGN,Male,"Art Direction:  Ken Adam, Roy Walker;  Set Decoration:  Vernon Dixon",White,Barry Lyndon,TRUE
1975,1976,48,PRODUCTION DESIGN,Male,Art Direction:  Edward Carfagno;  Set Decoration:  Frank McKelvy,White,The Hindenburg,FALSE
1975,1976,48,PRODUCTION DESIGN,Male,"Art Direction:  Alexander Trauner, Tony Inglis;  Set Decoration:  Peter James",White,The Man Who Would Be King,FALSE
1975,1976,48,PRODUCTION DESIGN,Male,"Art Direction:  Richard Sylbert, W. Stewart Campbell;  Set Decoration:  George Gaines",White,Shampoo,FALSE
1975,1976,48,PRODUCTION DESIGN,Male,Art Direction:  Albert Brenner;  Set Decoration:  Marvin March,White,The Sunshine Boys,FALSE
1975,1976,48,CINEMATOGRAPHY,Male,John Alcott,White,Barry Lyndon,TRUE
1975,1976,48,CINEMATOGRAPHY,Male,Conrad Hall,White,The Day of the Locust,FALSE
1975,1976,48,CINEMATOGRAPHY,Male,James Wong Howe,Asian,Funny Lady,FALSE
1975,1976,48,CINEMATOGRAPHY,Male,Robert Surtees,White,The Hindenburg,FALSE
1975,1976,48,CINEMATOGRAPHY,Male,"Haskell Wexler, Bill Butler",White,One Flew over the Cuckoo's Nest,FALSE
1975,1976,48,COSTUME DESIGN,Female,"Ulla-Britt Soderlund, Milena Canonero",White,Barry Lyndon,TRUE
1975,1976,48,COSTUME DESIGN,Female,"Yvonne Blake, Ron Talsky",White,The Four Musketeers,FALSE
1975,1976,48,COSTUME DESIGN,Male,"Ray Aghayan, Bob Mackie",Asian,Funny Lady,FALSE
1975,1976,48,COSTUME DESIGN,Female,"Henny Noremark, Karin Erskine",White,The Magic Flute,FALSE
1975,1976,48,COSTUME DESIGN,Female,Edith Head,White,The Man Who Would Be King,FALSE
1975,1976,48,DIRECTING,Male,Federico Fellini,White,Amarcord,FALSE
1975,1976,48,DIRECTING,Male,Stanley Kubrick,White,Barry Lyndon,FALSE
1975,1976,48,DIRECTING,Male,Sidney Lumet,White,Dog Day Afternoon,FALSE
1975,1976,48,DIRECTING,Male,Robert Altman,White,Nashville,FALSE
1975,1976,48,DIRECTING,Male,Milos Forman,White,One Flew over the Cuckoo's Nest,TRUE
1975,1976,48,DOCUMENTARY (Feature),Male,"Walter F. Parkes and Keith F. Critchlow, Producers",White,The California Reich,FALSE
1975,1976,48,DOCUMENTARY (Feature),Male,"Glen Pearcy, Producer",White,Fighting for Our Lives,FALSE
1975,1976,48,DOCUMENTARY (Feature),Male,"Irwin Rosten, Producer",White,The Incredible Machine,FALSE
1975,1976,48,DOCUMENTARY (Feature),Male,"F. R. Crawley, James Hager and Dale Hartleben, Producers",White,The Man Who Skied down Everest,TRUE
1975,1976,48,DOCUMENTARY (Feature),Female,"Shirley MacLaine, Producer",White,The Other Half of the Sky: A China Memoir,FALSE
1975,1976,48,DOCUMENTARY (Short Subject),Female,"Jon Else, Steven Kovacs and Kristine Samuelson, Producers",White,Arthur and Lillie,FALSE
1975,1976,48,DOCUMENTARY (Short Subject),Female,"Claire Wilbur and Robin Lehman, Producers",White,The End of the Game,TRUE
1975,1976,48,DOCUMENTARY (Short Subject),Male,"Manfred Baier, Producer",White,Millions of Years Ahead of Man,FALSE
1975,1976,48,DOCUMENTARY (Short Subject),Male,"George V. Casey, Producer",White,Probes in Space,FALSE
1975,1976,48,DOCUMENTARY (Short Subject),Male,"Barrie Howells and Michael Scott, Producers",White,Whistling Smith,FALSE
1975,1976,48,FILM EDITING,Female,Dede Allen,White,Dog Day Afternoon,FALSE
1975,1976,48,FILM EDITING,Female,Verna Fields,White,Jaws,TRUE
1975,1976,48,FILM EDITING,Male,Russell Lloyd,White,The Man Who Would Be King,FALSE
1975,1976,48,FILM EDITING,Female,"Richard Chew, Lynzee Klingman, Sheldon Kahn",White,One Flew over the Cuckoo's Nest,FALSE
1975,1976,48,FILM EDITING,Male,"Fredric Steinkamp, Don Guidice",White,Three Days of the Condor,FALSE
1975,1976,48,FOREIGN LANGUAGE FILM,Male,Union of Soviet Socialist Republics,White,Dersu Uzala,TRUE
1975,1976,48,FOREIGN LANGUAGE FILM,Male,Poland,White,Land of Promise,FALSE
1975,1976,48,FOREIGN LANGUAGE FILM,Male,Mexico,White,Letters from Marusia,FALSE
1975,1976,48,FOREIGN LANGUAGE FILM,Male,Japan,Asian,Sandakan No. 8,FALSE
1975,1976,48,FOREIGN LANGUAGE FILM,Male,Italy,White,Scent of a Woman,FALSE
1975,1976,48,MUSIC (Original Score),Male,Gerald Fried,White,"Birds Do It, Bees Do It",FALSE
1975,1976,48,MUSIC (Original Score),Male,Alex North,White,Bite the Bullet,FALSE
1975,1976,48,MUSIC (Original Score),Male,John Williams,White,Jaws,TRUE
1975,1976,48,MUSIC (Original Score),Male,Jack Nitzsche,White,One Flew over the Cuckoo's Nest,FALSE
1975,1976,48,MUSIC (Original Score),Male,Jerry Goldsmith,White,The Wind and the Lion,FALSE
1975,1976,48,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Male,Adaptation Score by Leonard Rosenman,White,Barry Lyndon,TRUE
1975,1976,48,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Male,Adaptation Score by Peter Matz,White,Funny Lady,FALSE
1975,1976,48,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Male,Adaptation Score by Peter Townshend,White,Tommy,FALSE
1975,1976,48,MUSIC (Original Song),Male,Music and Lyrics by Fred Ebb and John Kander,White,Funny Lady,FALSE
1975,1976,48,MUSIC (Original Song),Male,Music and Lyrics by Keith Carradine,White,Nashville,TRUE
1975,1976,48,MUSIC (Original Song),Male,Music by George Barrie; Lyrics by Sammy Cahn,White,Whiffs,FALSE
1975,1976,48,MUSIC (Original Song),Male,Music by Charles Fox; Lyrics by Norman Gimbel,White,The Other Side of the Mountain,FALSE
1975,1976,48,MUSIC (Original Song),Male,Music by Michael Masser; Lyrics by Gerry Goffin,White,Mahogany,FALSE
1975,1976,48,BEST PICTURE,Male,"Stanley Kubrick, Producer",White,Barry Lyndon,FALSE
1975,1976,48,BEST PICTURE,Male,"Martin Bregman and Martin Elfand, Producers",White,Dog Day Afternoon,FALSE
1975,1976,48,BEST PICTURE,Male,"Richard D. Zanuck and David Brown, Producers",White,Jaws,FALSE
1975,1976,48,BEST PICTURE,Male,"Robert Altman, Producer",White,Nashville,FALSE
1975,1976,48,BEST PICTURE,Male,"Saul Zaentz and Michael Douglas, Producers",White,One Flew over the Cuckoo's Nest,TRUE
1975,1976,48,SHORT FILM (Animated),Male,"Bob Godfrey, Producer",White,Great,TRUE
1975,1976,48,SHORT FILM (Animated),Male,"Robert Swarthe, Producer",White,Kick Me,FALSE
1975,1976,48,SHORT FILM (Animated),Male,"René Jodoin, Bernard Longpré and André Leduc, Producers",White,Monsieur Pointu,FALSE
1975,1976,48,SHORT FILM (Animated),Male,"Marcell Jankovics, Producer",White,Sisyphus,FALSE
1975,1976,48,SHORT FILM (Live Action),Male,"Bert Salzman, Producer",White,Angel and Big Joe,TRUE
1975,1976,48,SHORT FILM (Live Action),Male,"Louis Marcus, Producer",White,Conquest of Light,FALSE
1975,1976,48,SHORT FILM (Live Action),Male,"Lawrence M. Lansburgh and Brian Lansburgh, Producers",White,Dawn Flight,FALSE
1975,1976,48,SHORT FILM (Live Action),Male,"Barry Spinello, Producer",White,A Day in the Life of Bonnie Consolo,FALSE
1975,1976,48,SHORT FILM (Live Action),Male,"Alan Beattie, Producer",White,Doubletalk,FALSE
1975,1976,48,SOUND,Male,"Arthur Piantadosi, Les Fresholtz, Richard Tyler, Al Overton, Jr.",White,Bite the Bullet,FALSE
1975,1976,48,SOUND,Male,"Richard Portman, Don MacDougall, Curly Thirlwell, Jack Solomon",White,Funny Lady,FALSE
1975,1976,48,SOUND,Male,"Leonard Peterson, John A. Bolger, Jr., John Mack, Don K. Sharpless",White,The Hindenburg,FALSE
1975,1976,48,SOUND,Male,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter",White,Jaws,TRUE
1975,1976,48,SOUND,Male,"Harry W. Tetrick, Aaron Rochin, William McCaughey, Roy Charman",White,The Wind and the Lion,FALSE
1975,1976,48,WRITING (Original Screenplay),Male,"Federico Fellini, Tonino Guerra",White,Amarcord,FALSE
1975,1976,48,WRITING (Original Screenplay),Male,"Claude Lelouch, Pierre Uytterhoeven",White,And Now My Love,FALSE
1975,1976,48,WRITING (Original Screenplay),Male,Frank Pierson,White,Dog Day Afternoon,TRUE
1975,1976,48,WRITING (Original Screenplay),Male,Ted Allan,White,Lies My Father Told Me,FALSE
1975,1976,48,WRITING (Original Screenplay),Male,"Robert Towne, Warren Beatty",White,Shampoo,FALSE
1975,1976,48,WRITING (Adapted Screenplay),Male,Stanley Kubrick,White,Barry Lyndon,FALSE
1975,1976,48,WRITING (Adapted Screenplay),Female,"John Huston, Gladys Hill",White,The Man Who Would Be King,FALSE
1975,1976,48,WRITING (Adapted Screenplay),Male,"Lawrence Hauben, Bo Goldman",White,One Flew over the Cuckoo's Nest,TRUE
1975,1976,48,WRITING (Adapted Screenplay),Male,"Ruggero Maccari, Dino Risi",White,Scent of a Woman,FALSE
1975,1976,48,WRITING (Adapted Screenplay),Male,Neil Simon,White,The Sunshine Boys,FALSE
1975,1976,48,SPECIAL ACHIEVEMENT AWARD (Sound Effects),Male,Peter Berkos,White,The Hindenburg,TRUE
1975,1976,48,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Male,"Albert Whitlock, Glen Robinson",White,The Hindenburg,TRUE
1975,1976,48,JEAN HERSHOLT HUMANITARIAN AWARD,Male,Dr. Jules C. Stein,White,,TRUE
1975,1976,48,HONORARY AWARD,Female, Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium.,White,,TRUE
1975,1976,48,IRVING G. THALBERG MEMORIAL AWARD,Male,Mervyn LeRoy,White,,TRUE
1976,1977,49,PRODUCTION DESIGN,Male,Art Direction:  George Jenkins;  Set Decoration:  George Gaines,White,All the President's Men,TRUE
1976,1977,49,PRODUCTION DESIGN,Male,"Art Direction:  Elliot Scott, Norman Reynolds;  Set Decoration:  Peter Howitt",White,The Incredible Sarah,FALSE
1976,1977,49,PRODUCTION DESIGN,Male,"Art Direction:  Gene Callahan, Jack Collis;  Set Decoration:  Jerry Wunderlich",White,The Last Tycoon,FALSE
1976,1977,49,PRODUCTION DESIGN,Male,Art Direction:  Dale Hennesy;  Set Decoration:  Robert de Vestel,White,Logan's Run,FALSE
1976,1977,49,PRODUCTION DESIGN,Male,Art Direction:  Robert F. Boyle;  Set Decoration:  Arthur Jeph Parker,White,The Shootist,FALSE
1976,1977,49,CINEMATOGRAPHY,Male,Haskell Wexler,White,Bound for Glory,TRUE
1976,1977,49,CINEMATOGRAPHY,Male,Richard H. Kline,White,King Kong,FALSE
1976,1977,49,CINEMATOGRAPHY,Male,Ernest Laszlo,White,Logan's Run,FALSE
1976,1977,49,CINEMATOGRAPHY,Male,Owen Roizman,White,Network,FALSE
1976,1977,49,CINEMATOGRAPHY,Male,Robert Surtees,White,A Star Is Born,FALSE
1976,1977,49,COSTUME DESIGN,Male,William Theiss,White,Bound for Glory,FALSE
1976,1977,49,COSTUME DESIGN,Male,Danilo Donati,White,Fellini's Casanova,TRUE
1976,1977,49,COSTUME DESIGN,Male,Anthony Mendleson,White,The Incredible Sarah,FALSE
1976,1977,49,COSTUME DESIGN,Female,Mary Wills,White,The Passover Plot,FALSE
1976,1977,49,COSTUME DESIGN,Male,Alan Barrett,White,The Seven-per-cent Solution,FALSE
1976,1977,49,DIRECTING,Male,Alan J. Pakula,White,All the President's Men,FALSE
1976,1977,49,DIRECTING,Male,Ingmar Bergman,White,Face to Face,FALSE
1976,1977,49,DIRECTING,Male,Sidney Lumet,White,Network,FALSE
1976,1977,49,DIRECTING,Male,John G. Avildsen,White,Rocky,TRUE
1976,1977,49,DIRECTING,Female, Lina Wertmuller,White,Seven Beauties,FALSE
1976,1977,49,DOCUMENTARY (Feature),Female,"Barbara Kopple, Producer",White,"Harlan County, U.S.A.",TRUE
1976,1977,49,DOCUMENTARY (Feature),Male,"James Gutman and David Helpern, Jr., Producers",White,Hollywood on Trial,FALSE
1976,1977,49,DOCUMENTARY (Feature),Male,"Michael Firth, Producer",White,Off the Edge,FALSE
1976,1977,49,DOCUMENTARY (Feature),Male,"Anthony Howarth and David Koff, Producers",White,People of the Wind,FALSE
1976,1977,49,DOCUMENTARY (Feature),Male,"Donald Brittain and Robert Duncan, Producers",White,Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,FALSE
1976,1977,49,DOCUMENTARY (Short Subject),Male,"Sparky Greene, Producer",White,American Shoeshine,FALSE
1976,1977,49,DOCUMENTARY (Short Subject),Male,"Tony Ianzelo and Andy Thomson, Producers",White,Blackwood,FALSE
1976,1977,49,DOCUMENTARY (Short Subject),Male,"John Armstrong, Producer",White,The End of the Road,FALSE
1976,1977,49,DOCUMENTARY (Short Subject),Female,"Lynne Littman, Producer",White,Number Our Days,TRUE
1976,1977,49,DOCUMENTARY (Short Subject),Male,"Lester Novros, Producer",White,Universe,FALSE
1976,1977,49,FILM EDITING,Male,Robert L. Wolfe,White,All the President's Men,FALSE
1976,1977,49,FILM EDITING,Male,"Robert Jones, Pembroke J. Herring",White,Bound for Glory,FALSE
1976,1977,49,FILM EDITING,Male,Alan Heim,White,Network,FALSE
1976,1977,49,FILM EDITING,Male,"Richard Halsey, Scott Conrad",White,Rocky,TRUE
1976,1977,49,FILM EDITING,Female,"Eve Newman, Walter Hannemann",White,Two-Minute Warning,FALSE
1976,1977,49,FOREIGN LANGUAGE FILM,Male,Ivory Coast,White,Black and White in Color,TRUE
1976,1977,49,FOREIGN LANGUAGE FILM,Male,France,White,"Cousin, Cousine",FALSE
1976,1977,49,FOREIGN LANGUAGE FILM,Male,German Democratic Republic,White,"Jacob, the Liar",FALSE
1976,1977,49,FOREIGN LANGUAGE FILM,Male,Poland,White,Nights and Days,FALSE
1976,1977,49,FOREIGN LANGUAGE FILM,Female,Italy,White,Seven Beauties,FALSE
1976,1977,49,MUSIC (Original Score),Male,Bernard Herrmann,White,Obsession,FALSE
1976,1977,49,MUSIC (Original Score),Male,Jerry Goldsmith,White,The Omen,TRUE
1976,1977,49,MUSIC (Original Score),Male,Jerry Fielding,White,The Outlaw Josey Wales,FALSE
1976,1977,49,MUSIC (Original Score),Male,Bernard Herrmann,White,Taxi Driver,FALSE
1976,1977,49,MUSIC (Original Score),Male,Lalo Schifrin,White,Voyage of the Damned,FALSE
1976,1977,49,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Male,Adaptation Score by Leonard Rosenman,White,Bound for Glory,TRUE
1976,1977,49,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Male,Song Score and Adaptation Score by Paul Williams,White,Bugsy Malone,FALSE
1976,1977,49,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Male,Adaptation Score by Roger Kellaway,White,A Star Is Born,FALSE
1976,1977,49,MUSIC (Original Song),Male,Music by Sammy Fain; Lyrics by Paul Francis Webster,White,Half a House,FALSE
1976,1977,49,MUSIC (Original Song),Male,Music and Lyrics by Jerry Goldsmith,White,The Omen,FALSE
1976,1977,49,MUSIC (Original Song),Male,Music by Henry Mancini; Lyrics by Don Black,White,The Pink Panther Strikes Again,FALSE
1976,1977,49,MUSIC (Original Song),Female,Music by Barbra Streisand; Lyrics by Paul Williams,White,A Star Is Born,TRUE
1976,1977,49,MUSIC (Original Song),Female,Music by Bill Conti; Lyrics by Carol Connors and Ayn Robbins,White,Rocky,FALSE
1976,1977,49,BEST PICTURE,Male,"Walter Coblenz, Producer",White,All the President's Men,FALSE
1976,1977,49,BEST PICTURE,Male,"Robert F. Blumofe and Harold Leventhal, Producers",White,Bound for Glory,FALSE
1976,1977,49,BEST PICTURE,Male,"Howard Gottfried, Producer",White,Network,FALSE
1976,1977,49,BEST PICTURE,Male,"Irwin Winkler and Robert Chartoff, Producers",White,Rocky,TRUE
1976,1977,49,BEST PICTURE,Male,"Michael Phillips and Julia Phillips, Producers",White,Taxi Driver,FALSE
1976,1977,49,SHORT FILM (Animated),Male,"Manfredo Manfredi, Producer",White,Dedalo,FALSE
1976,1977,49,SHORT FILM (Animated),Female,"Suzanne Baker, Producer",White,Leisure,TRUE
1976,1977,49,SHORT FILM (Animated),Female,"Caroline Leaf and Guy Glover, Producers",White,The Street,FALSE
1976,1977,49,SHORT FILM (Live Action),Male,"Andre Guttfreund and Peter Werner, Producers",White,In the Region of Ice,TRUE
1976,1977,49,SHORT FILM (Live Action),Female,"Marjorie Anne Short, Producer",White,Kudzu,FALSE
1976,1977,49,SHORT FILM (Live Action),Male,"Julian Chagrin and Claude Chagrin, Producers",White,The Morning Spider,FALSE
1976,1977,49,SHORT FILM (Live Action),Female,"Claire Wilbur and Robin Lehman, Producers",White,Nightlife,FALSE
1976,1977,49,SHORT FILM (Live Action),Female,"Dyan Cannon and Vince Cannon, Producers",White,Number One,FALSE
1976,1977,49,SOUND,Male,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb",White,All the President's Men,TRUE
1976,1977,49,SOUND,Male,"Harry Warren Tetrick, William McCaughey, Aaron Rochin, Jack Solomon",White,King Kong,FALSE
1976,1977,49,SOUND,Male,"Harry Warren Tetrick, William McCaughey, Lyle Burbridge, Bud Alper",White,Rocky,FALSE
1976,1977,49,SOUND,Male,"Donald Mitchell, Douglas Williams, Richard Tyler, Hal Etherington",White,Silver Streak,FALSE
1976,1977,49,SOUND,Male,"Robert Knudson, Dan Wallin, Robert Glass, Tom Overton",White,A Star Is Born,FALSE
1976,1977,49,WRITING (Adapted Screenplay),Male,William Goldman,White,All the President's Men,TRUE
1976,1977,49,WRITING (Adapted Screenplay),Male,Robert Getchell,White,Bound for Glory,FALSE
1976,1977,49,WRITING (Adapted Screenplay),Male,"Federico Fellini, Bernardino Zapponi",White,Fellini's Casanova,FALSE
1976,1977,49,WRITING (Adapted Screenplay),Male,Nicholas Meyer,White,The Seven-per-cent Solution,FALSE
1976,1977,49,WRITING (Adapted Screenplay),Male,"Steve Shagan, David Butler",White,Voyage of the Damned,FALSE
1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Female,Story and Screenplay by Jean-Charles Tacchella;  Adaptation by Daniele Thompson,White,"Cousin, Cousine",FALSE
1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Male,Walter Bernstein,White,The Front,FALSE
1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Male,Paddy Chayefsky,White,Network,TRUE
1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Male,Sylvester Stallone,White,Rocky,FALSE
1976,1977,49,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Female, Lina Wertmuller,White,Seven Beauties,FALSE
1976,1977,49,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Male,"Carlo Rambaldi, Glen Robinson, Frank Van der Veer",White,King Kong,TRUE
1976,1977,49,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Male,"L. B. Abbott, Glen Robinson, Matthew Yuricich",White,Logan's Run,TRUE
1976,1977,49,IRVING G. THALBERG MEMORIAL AWARD,Male,Pandro S. Berman,White,,TRUE
1977,1978,50,PRODUCTION DESIGN,Male,Art Direction:  George C. Webb;  Set Decoration:  Mickey S. Michaels,White,Airport '77,FALSE
1977,1978,50,PRODUCTION DESIGN,Male,"Art Direction:  Joe Alves, Dan Lomino;  Set Decoration:  Phil Abramson",White,Close Encounters of the Third Kind,FALSE
1977,1978,50,PRODUCTION DESIGN,Male,"Art Direction:  Ken Adam, Peter Lamont;  Set Decoration:  Hugh Scaife",White,The Spy Who Loved Me,FALSE
1977,1978,50,PRODUCTION DESIGN,Male,"Art Direction:  John Barry, Norman Reynolds, Leslie Dilley;  Set Decoration:  Roger Christian",White,Star Wars,TRUE
1977,1978,50,PRODUCTION DESIGN,Male,Art Direction:  Albert Brenner;  Set Decoration:  Marvin March,White,The Turning Point,FALSE
1977,1978,50,CINEMATOGRAPHY,Male,Vilmos Zsigmond,White,Close Encounters of the Third Kind,TRUE
1977,1978,50,CINEMATOGRAPHY,Male,Fred J. Koenekamp,White,Islands in the Stream,FALSE
1977,1978,50,CINEMATOGRAPHY,Male,Douglas Slocombe,White,Julia,FALSE
1977,1978,50,CINEMATOGRAPHY,Male,William A. Fraker,Hispanic,Looking for Mr. Goodbar,FALSE
1977,1978,50,CINEMATOGRAPHY,Male,Robert Surtees,White,The Turning Point,FALSE
1977,1978,50,COSTUME DESIGN,Female,"Edith Head, Burton Miller",White,Airport '77,FALSE
1977,1978,50,COSTUME DESIGN,Female,Anthea Sylbert,White,Julia,FALSE
1977,1978,50,COSTUME DESIGN,Female,Florence Klotz,White,A Little Night Music,FALSE
